Data,Veiculo,Produto,Serviço,Total,Fabricante
03/06/2024,PAJERO TR4,"0,0","200,0","200,0",MITSUBISHI
03/06/2024,S10,"0,0","180,0","180,0",CHEVROLET
03/06/2024,L200 TRITON,"1679,55","390,0","2069,55",MITSUBISHI
03/06/2024,ECOSPORT,"1679,2","900,0","2579,2",FORD
03/06/2024,HILUX,"6,0","100,0","106,0",TOYOTA
03/06/2024,HILUX SW4,"981,85","360,0","1341,85",TOYOTA
04/06/2024,MONTANA,"367,49","532,49","899,98",CHEVROLET
05/06/2024,SAVEIRO,"15,11","672,54","687,65",VOLKSWAGEN
05/06/2024,208,"1220,2","739,8","1960,0",PEUGEOT
05/06/2024,PAJERO TR4,"1414,69","85,31","1500,0",MITSUBISHI
06/06/2024,PAJERO SPORT,"2762,21","1937,81","4700,02",MITSUBISHI
06/06/2024,JETTA,"39,4","180,0","219,4",VOLKSWAGEN
06/06/2024,HB20,"0,0","180,0","180,0",HYUNDAI
07/06/2024,B200T,"297,5","200,0","497,5",MERCEDES
07/06/2024,DUSTER,"102,02","187,98","290,0",RENAULT
10/06/2024,UNO,"2255,4","1135,0","3390,4",FIAT
11/06/2024,HILUX,"966,29","333,71","1300,0",TOYOTA
11/06/2024,AMAROK,"0,0","80,0","80,0",VOLKSWAGEN
11/06/2024,B200T,"316,8","200,0","516,8",MERCEDES
11/06/2024,PAMPA,"225,6","150,0","375,6",FIAT
12/06/2024,HILUX SW4,"6054,7","5450,0","11504,7",TOYOTA
12/06/2024,COMPASS,"116,0","0,0","116,0",JEEP
12/06/2024,CIVIC,"620,75","650,0","1270,75",HONDA
12/06/2024,HRV,"43,9","790,0","833,9",HONDA
12/06/2024,C4 LOUNGE,"0,0","560,0","560,0",CITROËN
12/06/2024,COMPASS,"3558,21","821,8","4380,01",JEEP
13/06/2024,208,"9,6","80,0","89,6",PEUGEOT
13/06/2024,CORSA CLASSIC,"0,0","170,0","170,0",CHEVROLET
14/06/2024,PALIO,"1985,7","1440,0","3425,7",FIAT
14/06/2024,PAJERO TR4,"509,95","480,0","989,95",MITSUBISHI
14/06/2024,PAJERO SPORT,"67,35","0,0","67,35",MITSUBISHI
14/06/2024,COMPASS,"1926,7","2800,0","4726,7",JEEP
17/06/2024,ONIX,"198,71","191,29","390,0",CHEVROLET
18/06/2024,COROLLA,"177,65","120,0","297,65",TOYOTA
18/06/2024,GRAND CHEROKEE,"3020,46","1144,55","4165,01",JEEP
18/06/2024,KA,"25,0","5,0","30,0",FORD
19/06/2024,S10,"0,0","170,0","170,0",CHEVROLET
19/06/2024,S10,"5304,44","2795,57","8100,01",CHEVROLET
19/06/2024,S10,"1205,05","585,0","1790,05",CHEVROLET
19/06/2024,HB20,"1100,2","566,94","1667,14",HYUNDAI
20/06/2024,SANDERO,"1290,95","595,0","1885,95",RENAULT
20/06/2024,RENEGADE,"1090,29","749,7","1839,99",JEEP
20/06/2024,A5,"3712,05","2257,95","5970,0",AUDI
21/06/2024,PAJERO TR4,"257,7","490,0","747,7",MITSUBISHI
21/06/2024,RENEGADE,"1090,3","749,7","1840,0",JEEP
21/06/2024,SUBARU WRX,"114,15","120,0","234,15",SUBARU
21/06/2024,SANDERO,"0,0","80,0","80,0",RENAULT
21/06/2024,COMPASS,"2093,89","350,0","2443,89",JEEP
24/06/2024,CRUZE,"696,8","453,2","1150,0",CHEVROLET
24/06/2024,HILUX,"328,7","480,0","808,7",TOYOTA
24/06/2024,ZAFIRA,"738,0","480,0","1218,0",CHEVROLET
24/06/2024,L200 TRITON,"2929,75","1010,0","3939,75",MITSUBISHI
25/06/2024,SPIN,"1447,51","818,37","2265,88",CHEVROLET
