Data;Veiculo; Produto ; Serviço ; Total ;;;;
12/03/2024;PAJERO DAKAR; 5.020,45 ; 1.592,00 ; 6.612,45 ;;;;
12/03/2024;LIFAN X60; 300,00 ; 0,00 ; 300,00 ;;;;
12/03/2024;PALIO; 0,00 ; 250,00 ; 250,00 ;;;;
13/03/2024;GOLF; 159,03 ; 240,97 ; 400,00 ;;;;
15/03/2024;COMPASS; 267,96 ; 109,04 ; 377,00 ;;;;
15/03/2024;BMW X1; 81,90 ; 0,00 ; 81,90 ;;;;
15/03/2024;NEW FIESTA; 1.842,80 ; 610,00 ; 2.452,80 ;;;;
15/03/2024;MONTANA; 553,60 ; 340,00 ; 893,60 ;;;;
15/03/2024;SANDERO; 794,12 ; 235,88 ; 1.030,00 ;;;;
18/03/2024;ARGO; 533,80 ; 600,00 ; 1.133,80 ;;;;
18/03/2024;ONIX; 100,00 ; 0,00 ; 100,00 ;;;;
18/03/2024;MONTANA; 381,38 ; 0,00 ; 381,38 ;;;;
18/03/2024;PALIO; 0,00 ; 220,00 ; 220,00 ;;;;
18/03/2024;JETTA; 79,80 ; 200,00 ; 279,80 ;;;;
20/03/2024;S10; 270,00 ; 0,00 ; 270,00 ;;;;
20/03/2024;PALIO; 130,10 ; 80,00 ; 210,10 ;;;;
20/03/2024;RAM 2500 LARAMIE; 0,00 ; 470,00 ; 470,00 ;;;;
20/03/2024;MERCEDES A160; 100,00 ; 600,01 ; 700,01 ;;;;
20/03/2024;AGILE; 574,02 ; 432,00 ; 1.006,02 ;;;;
20/03/2024;PALIO; 0,00 ; 120,00 ; 120,00 ;;;;
20/03/2024;COMPASS; 0,00 ; 250,00 ; 250,00 ;;;;
21/03/2024;HILUX; 0,00 ; 180,00 ; 180,00 ;;;;
21/03/2024;L200; 623,01 ; 777,00 ; 1.400,01 ;;;;
21/03/2024;COMPASS; 2.090,00 ; 180,00 ; 2.270,00 ;;;;
21/03/2024;TRACKER; 1.338,39 ; 965,61 ; 2.304,00 ;;;;
22/03/2024;XC40; 1.243,18 ; 379,83 ; 1.623,01 ;;;;
22/03/2024;COROLLA; 5.111,10 ; 4.985,00 ; 10.096,10 ;;;;
22/03/2024;PAMPA; 1.040,68 ; 1.154,31 ; 2.194,99 ;;;;
25/03/2024;CELTA; 2,50 ; 60,00 ; 62,50 ;;;;
25/03/2024;RENEGADE; 1.916,00 ; 1.270,00 ; 3.186,00 ;;;;
25/03/2024;ONIX; 1.905,55 ; 610,00 ; 2.515,55 ;;;;
25/03/2024;RENEGADE; 419,75 ; 495,00 ; 914,75 ;;;;
25/03/2024;SUBARU WRX; 3.349,53 ; 1.539,77 ; 4.889,30 ;;;;
26/03/2024;PRISMA; 343,30 ; 0,00 ; 343,30 ;;;;
26/03/2024;SAVEIRO; 395,00 ; 0,00 ; 395,00 ;;;;
27/03/2024;NEW FIESTA; 959,65 ; 390,00 ; 1.349,65 ;;;;
27/03/2024;S10; 556,51 ; 343,49 ; 900,00 ;;;;
27/03/2024;CAPTUR; 130,70 ; 180,00 ; 310,70 ;;;;
27/03/2024;PICK UP CORSA; 1.551,10 ; 65,00 ; 1.616,10 ;;;;
28/03/2024;TRACKER; 265,00 ; 340,00 ; 605,00 ;;;;
28/03/2024;3008; 578,20 ; 80,00 ; 658,20 ;;;;
01/04/2024;HILUX SW4; 1.680,86 ; 619,12 ; 2.299,98 ;;;;
01/04/2024;ONIX; 0,00 ; 120,00 ; 120,00 ;;;;
01/04/2024;VELOSTER; 0,00 ; 250,00 ; 250,00 ;;;;
01/04/2024;TORO; 0,00 ; 80,00 ; 80,00 ;;;;
01/04/2024;HRV; 2.112,65 ; 0,00 ; 2.112,65 ;;;;
02/04/2024;TORO; 1.739,89 ; 1.690,12 ; 3.430,01 ;;;;
02/04/2024;HB20; 366,40 ; 133,60 ; 500,00 ;;;;
02/04/2024;HILUX SW4; 584,25 ; 0,00 ; 584,25 ;;;;
03/04/2024;STRADA; 282,25 ; 297,75 ; 580,00 ;;;;
03/04/2024;AMAROK; 6.721,02 ; 778,97 ; 7.499,99 ;;;;
03/04/2024;RANGER; 25,00 ; 165,00 ; 190,00 ;;;;
03/04/2024;BMW 335I; 1.211,60 ; 3.800,00 ; 5.011,60 ;;;;
03/04/2024;HILUX; 480,14 ; 919,86 ; 1.400,00 ;;;;
03/04/2024;BMW X1; 2.524,75 ; 1.525,26 ; 4.050,01 ;;;;
03/04/2024;AMAROK; 17.278,71 ; 4.121,28 ; 21.399,99 ;;;;
04/04/2024;ONIX; 697,50 ; 130,00 ; 827,50 ;;;;
04/04/2024;S10; 201,90 ; 783,31 ; 985,21 ;;;;
04/04/2024;JETTA; 0,00 ; 300,00 ; 300,00 ;;;;
04/04/2024;MERCEDES B200T; 0,00 ; 300,00 ; 300,00 ;;;;
05/04/2024;SUBARU WRX; 918,00 ; 280,00 ; 1.198,00 ;;;;
05/04/2024;CORSA CLASSIC; 647,32 ; 352,69 ; 1.000,01 ;;;;
05/04/2024;PAJERO DAKAR; 978,00 ; 90,00 ; 1.068,00 ;;;;
08/04/2024;C4 LOUNGE; 1.312,20 ; 560,00 ; 1.872,20 ;;;;
08/04/2024;ZAFIRA; 41,35 ; 120,00 ; 161,35 ;;;;
08/04/2024;DUSTER; 3.802,90 ; 3.570,00 ; 7.372,90 ;;;;
08/04/2024;FUSCA; 141,20 ; 80,00 ; 221,20 ;;;;
08/04/2024;FRONTIER; 965,15 ; 200,00 ; 1.165,15 ;;;;
08/04/2024;S10; 0,00 ; 130,00 ; 130,00 ;;;;
09/04/2024;KADETT; 847,79 ; 622,23 ; 1.470,02 ;;;;
09/04/2024;MONTANA; 0,00 ; 120,00 ; 120,00 ;;;;
10/04/2024;PALIO WEEKEND; 2.214,75 ; 1.620,00 ; 3.834,75 ;;;;
10/04/2024;F250; 2.838,16 ; 640,00 ; 3.478,16 ;;;;
10/04/2024;TRACKER; 920,00 ; 0,00 ; 920,00 ;;;;
10/04/2024;TCROSS; 647,35 ; 210,00 ; 857,35 ;;;;
11/04/2024;ECOSPORT; 0,00 ; 280,00 ; 280,00 ;;;;
11/04/2024;BMW 320I; 635,50 ; 0,00 ; 635,50 ;;;;
11/04/2024;AUDI Q5; 851,15 ; 530,00 ; 1.381,15 ;;;;
12/04/2024;FASTBACK; 913,43 ; 150,00 ; 1.063,43 ;;;;
12/04/2024;DUCATO; 620,00 ; 0,00 ; 620,00 ;;;;
12/04/2024;PAJERO TR4; 561,00 ; 120,00 ; 681,00 ;;;;
12/04/2024;SANDERO; 167,25 ; 280,00 ; 447,25 ;;;;
12/04/2024;STRADA; 348,00 ; 340,00 ; 688,00 ;;;;
15/04/2024;CRUZE; 378,00 ; 300,00 ; 678,00 ;;;;
15/04/2024;UP; 2.368,86 ; 521,15 ; 2.890,01 ;;;;
15/04/2024;ONIX; 387,00 ; 0,00 ; 387,00 ;;;;
16/04/2024;L200 TRITON; 4.035,56 ; 2.112,79 ; 6.148,35 ;;;;
16/04/2024;BMW 320I; 436,15 ; 0,00 ; 436,15 ;;;;
16/04/2024;PAJERO FULL; 6.037,65 ; 3.135,00 ; 9.172,65 ;;;;
17/04/2024;TRACKER; 596,68 ; 903,31 ; 1.499,99 ;;;;
17/04/2024;DODGE RAM 2500; 1.134,80 ; 525,00 ; 1.659,80 ;;;;
17/04/2024;COMPASS; 304,80 ; 160,00 ; 464,80 ;;;;
19/04/2024;MERCEDES CLA45; 1.469,40 ; 380,00 ; 1.849,40 ;;;;
19/04/2024;ONIX; 463,85 ; 90,00 ; 553,85 ;;;;
22/04/2024;TORO; 3.289,92 ; 1.650,10 ; 4.940,02 ;;;;
22/04/2024;CRUZE; 1.717,73 ; 1.320,27 ; 3.038,00 ;;;;
22/04/2024;CIVIC; 0,00 ; 300,00 ; 300,00 ;;;;
22/04/2024;STRADA; 270,48 ; 279,52 ; 550,00 ;;;;
22/04/2024;CRUZE; 1.530,95 ; 759,04 ; 2.289,99 ;;;;
22/04/2024;S10; 372,25 ; 460,00 ; 832,25 ;;;;
23/04/2024;GRAND CHEROKEE; 888,71 ; 8.661,28 ; 9.549,99 ;;;;
23/04/2024;L200 TRITON; 1.694,31 ; 555,70 ; 2.250,01 ;;;;
23/04/2024;S10; 611,05 ; 0,00 ; 611,05 ;;;;
23/04/2024;PAJERO TR4; 5.770,44 ; 1.529,56 ; 7.300,00 ;;;;
23/04/2024;EXPERT; 2.277,81 ; 472,20 ; 2.750,01 ;;;;
23/04/2024;207 SW; 129,00 ; 0,00 ; 129,00 ;;;;
23/04/2024;BMW X1; 188,11 ; 1.801,89 ; 1.990,00 ;;;;
23/04/2024;ETIOS; 0,00 ; 120,00 ; 120,00 ;;;;
23/04/2024;MERCEDES CLA; 920,27 ; 479,73 ; 1.400,00 ;;;;
24/04/2024;STRADA; 1.248,13 ; 647,87 ; 1.896,00 ;;;;
24/04/2024;PALIO WEEKEND; 688,45 ; 230,00 ; 918,45 ;;;;
24/04/2024;COROLLA; 0,00 ; 300,00 ; 300,00 ;;;;
25/04/2024;HILUX; 771,85 ; 475,00 ; 1.246,85 ;;;;
25/04/2024;AMAROK; 23,05 ; 116,95 ; 140,00 ;;;;
25/04/2024;L200; 1.079,32 ; 2.400,68 ; 3.480,00 ;;;;
26/04/2024;COMPASS; 870,00 ; 0,00 ; 870,00 ;;;;
26/04/2024;COMPASS; 5.552,28 ; 2.647,72 ; 8.200,00 ;;;;
26/04/2024;ONIX; 1.054,69 ; 795,31 ; 1.850,00 ;;;;
26/04/2024;S10; 532,20 ; 0,00 ; 532,20 ;;;;
26/04/2024;CORSA; 376,25 ; 388,76 ; 765,01 ;;;;
29/04/2024;GRANDSIENA; 564,05 ; 0,00 ; 564,05 ;;;;
29/04/2024;AMAROK; 19,60 ; 400,00 ; 419,60 ;;;;
29/04/2024;HILUX SW4; 2.836,85 ; 1.710,00 ; 4.546,85 ;;;;
29/04/2024;PORSCHE; 4.549,72 ; 1.765,00 ; 6.314,72 ;;;;
29/04/2024;PALIO; 140,20 ; 90,00 ; 230,20 ;;;;
30/04/2024;COROLLA; 0,00 ; 198,00 ; 198,00 ;;;;
30/04/2024;X1; 1.011,48 ; 188,52 ; 1.200,00 ;;;;
02/05/2024;UNO; 370,10 ; 175,00 ; 545,10 ;;;;
02/05/2024;ETIOS; 1.610,07 ; 696,27 ; 2.306,34 ;;;;
02/05/2024;ONIX; 1.014,80 ; 465,19 ; 1.479,99 ;;;;
02/05/2024;FUSION; 2.842,26 ; 4.057,76 ; 6.900,02 ;;;;
03/05/2024;CIVIC; 168,00 ; 0,00 ; 168,00 ;;;;
03/05/2024;CORSA CLASSIC; 206,89 ; 93,11 ; 300,00 ;;;;
06/05/2024;TORO; 76,00 ; 340,00 ; 416,00 ;;;;
06/05/2024;VECTRA; 374,82 ; 225,18 ; 600,00 ;;;;
06/05/2024;GRAND CHEROKEE; 394,25 ; 670,00 ; 1.064,25 ;;;;
06/05/2024;STRADA; 184,30 ; 95,69 ; 279,99 ;;;;
06/05/2024;POLO; 1.833,20 ; 1.000,00 ; 2.833,20 ;;;;
07/05/2024;STRADA; 214,23 ; 85,50 ; 299,73 ;;;;
07/05/2024;PAJERO DAKAR; 217,00 ; 150,00 ; 367,00 ;;;;
07/05/2024;S10; 1.761,50 ; 780,00 ; 2.541,50 ;;;;
08/05/2024;SAVEIRO; 498,40 ; 440,00 ; 938,40 ;;;;
08/05/2024;MONTANA; 98,60 ; 130,00 ; 228,60 ;;;;
08/05/2024;COMPASS; 517,80 ; 335,00 ; 852,80 ;;;;
08/05/2024;RANGER; 244,68 ; 5.550,00 ; 5.794,68 ;;;;
08/05/2024;CORSA; 1.938,40 ; 740,00 ; 2.678,40 ;;;;
09/05/2024;DOBLO; 1.995,50 ; 325,00 ; 2.320,50 ;;;;
09/05/2024;HB20; 2.354,30 ; 715,00 ; 3.069,30 ;;;;
09/05/2024;SAVEIRO; 0,00 ; 220,00 ; 220,00 ;;;;
10/05/2024;COMPASS; 89,25 ; 80,00 ; 169,25 ;;;;
10/05/2024;MERCEDES B200T; 3.777,96 ; 472,04 ; 4.250,00 ;;;;
10/05/2024;PAJERO SPORT; 420,35 ; 0,00 ; 420,35 ;;;;
10/05/2024;COBALT; 84,30 ; 130,00 ; 214,30 ;;;;
